name,file size,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
/tests/vredir.right,1205,4,2,2,2,2,2,2,2,2,2
/doc/bashbug.0,2336,119,65,47,35,30,26,22,20,18,17
/lib/glob/strmatch.h,2171,14,7,5,5,5,3,3,3,3,3
/tests/dollar-star1.sub,337,656,328,219,164,132,110,94,82,73,66
/tests/array24.sub,756,656,328,219,164,132,110,94,82,73,66
/tests/array26.sub,1399,656,328,219,164,132,110,94,82,73,66
/tests/getopts3.sub,480,656,328,219,164,132,110,94,82,73,66
/lib/malloc/trace.c,2662,8,4,3,3,3,2,2,2,2,2
/tests/vredir4.sub,182,656,328,219,164,132,110,94,82,73,66
/tests/dollar-star7.sub,704,656,328,219,164,132,110,94,82,73,66
/tests/dollar-at7.sub,516,656,328,219,164,132,110,94,82,73,66
/tests/dbg-support3.sub,486,656,328,219,164,132,110,94,82,73,66
/tests/glob4.sub,189,1016,509,341,256,204,171,147,129,114,103
/tests/nameref10.sub,1130,656,328,219,164,132,110,94,82,73,66
/include/posixtime.h,1509,174,87,58,44,35,29,25,22,20,18
/tests/alias.right,216,43,22,15,12,10,8,7,7,6,6
/tests/heredoc.tests,1432,973,488,325,245,196,164,140,124,110,99
/tests/case.tests,1075,656,328,219,164,132,110,94,82,73,66
/tests/varenv11.sub,308,656,328,219,164,132,110,94,82,73,66
/tests/dbg-support2.tests,441,753,378,252,190,151,127,108,96,85,77
/tests/new-exp4.sub,850,646,324,216,162,130,109,93,82,73,65
/tests/trap2.sub,659,656,328,219,164,132,110,94,82,73,66
/tests/trap5.sub,417,656,328,219,164,132,110,94,82,73,66
/tests/builtins.right,2558,619,310,209,159,128,108,94,83,75,68
/examples/startup-files/Bash_aliases,1171,1,1,1,1,1,1,1,1,1,1
/tests/posix2syntax.sub,1268,656,328,219,164,132,110,94,82,73,66
/tests/array13.sub,237,12,6,4,3,3,2,2,2,2,2
/lib/sh/zmapfd.c,1930,79,42,29,22,19,16,12,11,11,10
/examples/functions/sort-pos-params,1776,1,1,1,1,1,1,1,1,1,1
/tests/cprint.tests,1156,656,328,219,164,132,110,94,82,73,66
/tests/varenv3.sub,367,646,324,216,162,130,109,93,82,73,65
/tests/exp10.sub,350,656,328,219,164,132,110,94,82,73,66
/tests/quote.right,1511,465,234,157,119,96,81,68,61,54,49
/tests/arith2.sub,479,656,328,219,164,132,110,94,82,73,66
/tests/read2.sub,339,656,328,219,164,132,110,94,82,73,66
/tests/dynvar.tests,1408,730,365,244,183,147,123,105,92,82,74
/tests/comsub3.sub,459,656,328,219,164,132,110,94,82,73,66
/tests/dollar-at2.sub,127,656,328,219,164,132,110,94,82,73,66
/tests/histexp6.sub,229,656,328,219,164,132,110,94,82,73,66
/tests/array22.sub,699,656,328,219,164,132,110,94,82,73,66
/tests/source7.sub,713,656,328,219,164,132,110,94,82,73,66
/tests/builtins4.sub,472,656,328,219,164,132,110,94,82,73,66
/unwind_prot.h,2003,68,34,23,23,23,12,12,12,12,12
/tests/builtins6.sub,571,656,328,219,164,132,110,94,82,73,66
/tests/varenv14.sub,599,657,329,220,165,133,111,95,83,74,67
/lib/glob/gmisc.c,2713,8,4,3,3,3,2,2,2,2,2
/doc/version.texi,219,35,20,18,16,13,13,11,11,11,10
/tests/array16.sub,481,656,328,219,164,132,110,94,82,73,66
/tests/extglob3.tests,1315,656,328,219,164,132,110,94,82,73,66
/tests/dollar-at-star1.sub,307,656,328,219,164,132,110,94,82,73,66
/tests/strip.tests,377,656,328,219,164,132,110,94,82,73,66
/tests/dbg-support.tests,2765,766,386,257,194,156,130,112,99,88,80
/tests/source6.sub,587,656,328,219,164,132,110,94,82,73,66
/tests/globstar2.sub,774,656,328,219,164,132,110,94,82,73,66
/make_cmd.h,2960,186,93,62,62,62,31,31,31,31,31
/tests/arith3.sub,809,759,382,257,195,157,132,115,101,90,82
/tests/nameref7.sub,152,656,328,219,164,132,110,94,82,73,66
/lib/readline/doc/version.texi,220,37,22,18,16,13,13,12,11,11,10
/tests/getopts.tests,1182,656,328,219,164,132,110,94,82,73,66
/tests/procsub.tests,1557,819,413,278,210,170,143,123,108,97,88
/tests/casemod.tests,1500,658,330,221,166,134,112,96,84,75,68
/tests/varenv13.sub,316,656,328,219,164,132,110,94,82,73,66
/tests/exp11.sub,1012,656,328,219,164,132,110,94,82,73,66
/tests/getopts7.sub,538,656,328,219,164,132,110,94,82,73,66
/tests/array14.sub,365,656,328,219,164,132,110,94,82,73,66
/tests/getopts2.sub,480,656,328,219,164,132,110,94,82,73,66
/tests/glob2.sub,666,656,328,219,164,132,110,94,82,73,66
/tests/array8.sub,306,656,328,219,164,132,110,94,82,73,66
/tests/mapfile.tests,889,656,328,219,164,132,110,94,82,73,66
/tests/run-minimal,1202,695,348,233,175,140,117,100,88,79,70
/tests/cond-regexp3.sub,1647,656,328,219,164,132,110,94,82,73,66
/tests/redir11.sub,1294,944,472,315,236,190,158,136,118,105,95
/tests/read.tests,2411,656,328,219,164,132,110,94,82,73,66
/tests/posixexp3.sub,642,656,328,219,164,132,110,94,82,73,66
/tests/histexp1.sub,249,656,328,219,164,132,110,94,82,73,66
/tests/rsh1.sub,166,656,328,219,164,132,110,94,82,73,66
/tests/jobs5.sub,152,1211,607,405,305,244,204,174,154,136,123
/tests/vredir.tests,634,656,328,219,164,132,110,94,82,73,66
/tests/func2.sub,277,656,328,219,164,132,110,94,82,73,66
/tests/posixexp6.sub,769,656,328,219,164,132,110,94,82,73,66
/tests/iquote1.sub,764,656,328,219,164,132,110,94,82,73,66
/tests/type.right,1618,22,13,11,11,9,9,9,8,7,7
/tests/getopts5.sub,616,656,328,219,164,132,110,94,82,73,66
/tests/dollar-at-star5.sub,789,656,328,219,164,132,110,94,82,73,66
/tests/exp5.sub,325,656,328,219,164,132,110,94,82,73,66
/tests/vredir5.sub,201,656,328,219,164,132,110,94,82,73,66
/lib/glob/strmatch.c,1844,14,7,5,5,5,3,3,3,3,3
/tests/varenv2.sub,351,656,328,219,164,132,110,94,82,73,66
/tests/braces.tests,1719,656,328,219,164,132,110,94,82,73,66
/tests/alias2.sub,263,656,328,219,164,132,110,94,82,73,66
/tests/func.right,2017,8,5,5,5,5,4,4,4,4,4
/tests/jobs1.sub,244,656,328,219,164,132,110,94,82,73,66
